,b1,b2,bin_region,entrie_b1,entrie_b2,entrie_s,error,s,significance,sumw2_b1,sumw2_b2,sumw2_s,x_center,y_center,total_sig,lag_sig,update,bin_label
0,0.0880545920163,0.0127255714033,99,73.0,2.0,232.0,0.134807587124,0.189623863946,0.430711619536,0.000169725347863,0.000206555854902,0.000255328901016,0.761785483011,0.754692879226,1.12019233923,1.12019233923,1.0,1
1,0.0779393843504,0.0221227877773,89,69.0,2.0,129.0,0.129250972398,0.110619053539,0.275407184931,0.000138877072755,0.000297208240227,0.000153075223478,0.444075778763,0.754692879226,1.12917808479,1.12019233923,1.0,1
2,0.086531597206,0.0,98,69.0,0.0,107.0,0.15,0.0853196017235,0.22111549865,0.000166976102501,0.0,0.000120874545705,0.761785483011,0.447910956505,1.13509863191,1.12917808479,1.0,1
3,0.105672506676,0.00952169857919,88,77.0,1.0,112.0,0.139144334345,0.090803381979,0.218935788387,0.000199136061451,9.06627465156e-05,0.000112362037461,0.444075778763,0.447910956505,1.1367048478,1.13509863191,1.0,1
4,0.0465580077362,0.00815612636507,79,44.0,1.0,91.0,0.132968973436,0.0684510888954,0.209549651513,7.80500936632e-05,6.65223997203e-05,9.52706277913e-05,0.312318569246,0.754692879226,1.14485722625,1.1367048478,1.0,1
5,0.0553553046852,0.0,58,47.0,0.0,67.0,0.15,0.061815653923,0.184386208198,0.000100204143302,0.0,8.42105244072e-05,0.120604338742,0.447910956505,1.15257919265,1.14485722625,1.0,1
6,0.0545800451764,0.0413792692125,47,55.0,1.0,73.0,0.137480246388,0.0641482134797,0.169756664372,9.08968695268e-05,0.0017122438876,7.9142937611e-05,0.035678849219,0.334721279405,1.15277761173,1.15257919265,1.0,1
7,0.0848498451498,0.0118332986603,67,76.0,3.0,61.0,0.135150395108,0.0617775248904,0.164179970519,0.000156657820932,7.58841120501e-05,9.03403299242e-05,0.212419064368,0.334721279405,1.15277761173,1.15277761173,0.0,2
8,0.0339329704366,0.0,48,31.0,0.0,51.0,0.15,0.0492808709461,0.162812823975,6.42430255138e-05,0.0,7.29399014266e-05,0.035678849219,0.447910956505,1.15719101815,1.15277761173,1.0,2
9,0.0732825346597,0.0188854896114,68,66.0,2.0,70.0,0.129800277394,0.0581777594635,0.158999795878,0.000138655116273,0.000324764548907,8.03405549903e-05,0.212419064368,0.447910956505,1.15989568836,1.15719101815,1.0,2
10,0.0874911632745,0.000169886814547,97,58.0,1.0,56.0,0.149710084496,0.0580716691238,0.156539354598,0.000168101164047,2.88615300548e-08,7.70281832677e-05,0.761785483011,0.334721279405,1.16297161233,1.15989568836,1.0,2
11,0.0225651412475,0.00291293795453,69,15.0,2.0,53.0,0.135890343288,0.0417437141537,0.152248533289,4.53716619013e-05,1.28207612704e-05,5.78986062571e-05,0.212419064368,0.754692879226,1.16829035832,1.16297161233,1.0,2
12,0.125538260463,0.0503377299756,54,88.0,2.0,62.0,0.128776664851,0.0678729243306,0.145331910228,0.000253650385496,0.00142177197267,0.000107276645592,0.120604338742,0.0546758815301,1.16829035832,1.16829035832,0.0,3
13,0.133850686087,0.0891538275173,33,100.0,3.0,68.0,0.134517863642,0.0745265304785,0.143754337194,0.000254616191527,0.0069592371305,0.000108430824809,-0.0525759029549,-0.032930003101,1.16906313184,1.16829035832,1.0,3
14,0.0,0.0,19,0.0,0.0,1.0,0.0,0.00159841659479,0.14283634087,0.0,0.0,2.55493569057e-06,-0.27702637735,0.754692879226,1.16906313184,1.16906313184,0.0,4
15,0.150680482514,0.00628438172862,25,118.0,1.0,68.0,0.144341926392,0.0630005904076,0.139768307592,0.000271379689509,3.94934540964e-05,8.41827338188e-05,-0.15211605327,0.142155178211,1.16906313184,1.16906313184,0.0,5
16,0.0955046288345,0.0459118932486,66,72.0,1.0,69.0,0.129806091428,0.0573265719536,0.134809215563,0.000183483720106,0.00210790196434,7.48115615962e-05,0.212419064368,0.235259431384,1.17022860055,1.16906313184,1.0,5
17,0.0970731163607,0.0,77,77.0,0.0,62.0,0.15,0.0502164500525,0.132856831303,0.000189166487553,0.0,6.25294685211e-05,0.312318569246,0.334721279405,1.17173187672,1.17022860055,1.0,5
18,0.0966026943656,0.0621919268742,87,70.0,3.0,63.0,0.133842736981,0.0591437693693,0.132309581056,0.000196152631808,0.00134468938631,7.82467225142e-05,0.444075778763,0.334721279405,1.17272213212,1.17173187672,1.0,5
19,0.125309279148,0.0108912594151,75,93.0,3.0,63.0,0.139445698907,0.0525429583203,0.124822243353,0.000234977817516,6.8706706168e-05,6.4985864686e-05,0.312318569246,0.142155178211,1.17376146061,1.17272213212,1.0,5
20,0.115641281257,0.00273711234331,65,84.0,1.0,53.0,0.146645711461,0.0496219801871,0.123498815656,0.000226341911495,7.49178389015e-06,6.37944115373e-05,0.212419064368,0.142155178211,1.17505208418,1.17376146061,1.0,5
21,0.114816023729,0.0741235789169,45,76.0,5.0,67.0,0.133896359297,0.0589382656208,0.123070270736,0.000230500108441,0.00412747204446,7.33602010813e-05,0.035678849219,0.142155178211,1.17540747297,1.17505208418,1.0,5
22,0.0560495343361,0.100138787355,16,52.0,5.0,64.0,0.169082604637,0.0554918382604,0.121358037596,0.000114923373284,0.00483566034964,7.95805075787e-05,-0.27702637735,0.235259431384,1.1766705224,1.17540747297,1.0,5
23,0.164424622668,0.0310084172525,14,122.0,3.0,62.0,0.132287230508,0.058311417875,0.120287944001,0.000327545993272,0.000362836963177,7.76859368034e-05,-0.27702637735,0.0546758815301,1.17692676399,1.1766705224,1.0,5
24,0.103138365079,0.0,74,73.0,0.0,41.0,0.15,0.0459713365944,0.120035791338,0.000201758460585,0.0,6.88711170306e-05,0.312318569246,0.0546758815301,1.17826288643,1.17692676399,1.0,5
25,0.118960708825,0.020983748138,86,76.0,2.0,52.0,0.132904491683,0.0498966844153,0.118405739685,0.000257403106652,0.000227235352213,7.29486938314e-05,0.444075778763,0.235259431384,1.17908424264,1.17826288643,1.0,5
26,0.0974667165265,0.0658977153362,37,64.0,5.0,54.0,0.134828327887,0.0521320177837,0.115999095087,0.000199414418976,0.0021475824397,7.7209131446e-05,-0.0525759029549,0.334721279405,1.17966022905,1.17908424264,1.0,5
27,0.102110855736,0.0345159363933,76,75.0,2.0,61.0,0.12867211932,0.0477885599201,0.11517271048,0.000185490088714,0.000849873209518,6.50234054341e-05,0.312318569246,0.235259431384,1.18040504271,1.17966022905,1.0,5
28,0.0896375142183,0.171942957211,78,67.0,6.0,81.0,0.172182285633,0.0647362438104,0.114998404166,0.000179260381198,0.00981807040444,9.13736685614e-05,0.312318569246,0.447910956505,1.18040504271,1.18040504271,0.0,6
29,0.107031338301,0.00354792620055,46,84.0,1.0,50.0,0.145408670346,0.044566953813,0.114538920218,0.000197665626612,1.25877804749e-05,7.03491233839e-05,0.035678849219,0.235259431384,1.18098355628,1.18040504271,1.0,6
30,0.0954891921851,0.113220402302,36,75.0,3.0,63.0,0.15199506947,0.0570114386709,0.113066110849,0.000182422526996,0.00727527188255,7.60120695057e-05,-0.0525759029549,0.235259431384,1.18160626767,1.18098355628,1.0,6
31,0.237081089678,0.107051864295,22,167.0,12.0,72.0,0.129332485834,0.069316988029,0.111641804521,0.000458414867064,0.00211310307728,9.42936617452e-05,-0.15211605327,-0.128991031648,1.18160626767,1.18160626767,0.0,7
32,0.109865382007,0.0220228428952,56,78.0,2.0,65.0,0.13174171209,0.0452800167527,0.110618163987,0.000234084731515,0.000300296953355,5.29091967008e-05,0.120604338742,0.235259431384,1.18160626767,1.18160626767,0.0,8
33,0.173117699452,0.133208956453,24,118.0,5.0,73.0,0.137858803719,0.0648723151799,0.109820286443,0.000342482955732,0.00724039072596,8.67319211649e-05,-0.15211605327,0.0546758815301,1.18172543572,1.18160626767,1.0,8
34,0.116965303664,0.0657654553652,26,83.0,1.0,66.0,0.131584341303,0.0512952034849,0.109443394325,0.000220136575259,0.00432509509847,6.37604611159e-05,-0.15211605327,0.235259431384,1.18217399349,1.18172543572,1.0,8
35,0.121684343563,0.0106036169454,73,76.0,1.0,42.0,0.139424234419,0.0449070124336,0.108802627702,0.000234948703335,0.00011243668996,6.99200500086e-05,0.312318569246,-0.032930003101,1.18272380018,1.18217399349,1.0,8
36,0.0606104516405,0.129817942157,57,59.0,3.0,70.0,0.176989681898,0.0534699973487,0.108094282015,0.000108672098394,0.00950579025084,7.10324460521e-05,0.120604338742,0.334721279405,1.18356656015,1.18272380018,1.0,8
37,0.107367388385,0.0417260192335,44,86.0,1.0,52.0,0.128699846244,0.045696132413,0.106649517297,0.000197288345612,0.00174106063787,5.95333533368e-05,0.035678849219,0.0546758815301,1.18410066343,1.18356656015,1.0,8
38,0.148836103538,0.0452553778887,43,104.0,2.0,50.0,0.128952227297,0.0484063311269,0.101150705716,0.000275193380973,0.00155027216897,7.29962224719e-05,0.035678849219,-0.032930003101,1.18447727316,1.18410066343,1.0,8
39,0.150842274707,0.0196924509946,34,102.0,3.0,55.0,0.135783144532,0.045441199948,0.0999273268968,0.000307110182679,0.000185422055893,5.98983423664e-05,-0.0525759029549,0.0546758815301,1.18498098006,1.18447727316,1.0,8
40,0.553229696205,0.668630635089,1,424.0,33.0,123.0,0.152736678537,0.112048234056,0.0989056623345,0.00102329403288,0.0332455000028,0.000150753771874,-0.674951528385,-0.236416901776,1.18498098006,1.18498098006,0.0,9
41,0.249127639485,0.218262902024,12,177.0,13.0,73.0,0.141498908183,0.0699425676384,0.0977305495965,0.000466862916551,0.00744689126915,9.46626295371e-05,-0.27702637735,-0.128991031648,1.18498098006,1.18498098006,0.0,10
42,0.0,0.0,8,0.0,0.0,1.0,0.0,0.000810662517324,0.096194941458,0.0,0.0,6.57173700347e-07,-0.674951528385,0.447910956505,1.18498098006,1.18498098006,0.0,11
43,0.266923115414,0.435052134813,2,205.0,25.0,98.0,0.165103485673,0.0823243816223,0.0945384607046,0.000497854136435,0.016765389882,0.000112763242304,-0.674951528385,-0.128991031648,1.18498098006,1.18498098006,0.0,12
44,0.0604253399597,0.0,84,45.0,0.0,29.0,0.15,0.0292961231662,0.092987216725,0.000109788177755,0.0,5.13349293809e-05,0.444075778763,0.0546758815301,1.18498098006,1.18498098006,0.0,13
45,0.122366891518,0.151344993617,35,95.0,5.0,57.0,0.153641139778,0.0518838913513,0.0921384500068,0.000229960025256,0.00693416986724,6.82552484374e-05,-0.0525759029549,0.142155178211,1.18501205425,1.18498098006,1.0,13
46,0.0225732157996,0.00996313430369,59,19.0,1.0,25.0,0.129192014723,0.0231360543625,0.0914173985242,4.88404813348e-05,9.92640416371e-05,3.2097491259e-05,0.120604338742,0.754692879226,1.18508478028,1.18501205425,1.0,13
47,0.149903907219,0.0690281344578,63,109.0,2.0,46.0,0.129466802438,0.0446599570041,0.0888949935131,0.000274161423169,0.00371592467127,5.82620793826e-05,0.212419064368,-0.032930003101,1.18520064674,1.18508478028,1.0,13
48,0.160025250982,0.118975740857,52,108.0,4.0,59.0,0.136994157331,0.0499424114997,0.0888160766111,0.000300536603498,0.00479842287314,7.61655655353e-05,0.120604338742,-0.128991031648,1.18520064674,1.18520064674,0.0,14
49,0.168817795606,0.0940668469993,23,132.0,8.0,66.0,0.131457887254,0.0470896366601,0.0863351267673,0.000316481987699,0.00478220264938,6.48072006393e-05,-0.15211605327,-0.032930003101,1.18542160364,1.18520064674,1.0,14
50,0.130531985548,0.130463159294,4,104.0,9.0,59.0,0.145755711165,0.0471972153534,0.086156413512,0.000230157341932,0.00493362045458,5.56929497564e-05,-0.674951528385,0.0546758815301,1.18567583811,1.18542160364,1.0,14
51,0.0974992274969,0.015379329212,64,70.0,1.0,37.0,0.13396554667,0.0320637491568,0.0843616362466,0.000190337728507,0.00023652377422,4.16829150361e-05,0.212419064368,0.0546758815301,1.18579791642,1.18567583811,1.0,14
52,0.214989916369,0.39855744876,13,174.0,9.0,66.0,0.1706927129,0.0677078011122,0.0829040117513,0.000406058084981,0.0425402099009,9.5984336672e-05,-0.27702637735,-0.032930003101,1.18579791642,1.18579791642,0.0,15
53,0.192226726429,0.0820877821534,3,162.0,8.0,57.0,0.129017556741,0.0454742495413,0.0819964409176,0.000350083088666,0.00423886595399,5.93511816023e-05,-0.674951528385,-0.032930003101,1.18579791642,1.18579791642,0.0,16
54,0.131028434938,0.183658005412,15,98.0,8.0,56.0,0.158711270397,0.0479504684943,0.0801361938312,0.000247025724198,0.00696041768432,6.19615392427e-05,-0.27702637735,0.142155178211,1.18599718166,1.18579791642,1.0,16
55,0.107488225534,0.137783410959,55,77.0,4.0,59.0,0.155063007598,0.0416358116665,0.0779159387703,0.000216251666919,0.0116028919874,5.24655481213e-05,0.120604338742,0.142155178211,1.1862318782,1.18599718166,1.0,16
56,0.172507527115,0.0550379767083,53,125.0,3.0,48.0,0.128796028159,0.0395780900481,0.0777844773496,0.000328962384645,0.001637002807,5.09004926849e-05,0.120604338742,-0.032930003101,1.18642914771,1.1862318782,1.0,16
57,0.195836130593,0.114071469025,61,126.0,6.0,41.0,0.132107849467,0.0456071484041,0.0777680201182,0.000389992639269,0.00487748815958,7.10471035062e-05,0.212419064368,-0.236416901776,1.18656661444,1.18642914771,1.0,16
58,0.0690758993132,0.0792978797108,27,48.0,3.0,42.0,0.150760498337,0.0324594488648,0.0754925629338,0.000144939614447,0.00372557202354,4.00825604039e-05,-0.15211605327,0.334721279405,1.18678045614,1.18656661444,1.0,16
59,0.116848058987,0.0102320006117,81,82.0,1.0,26.0,0.139383695889,0.0294218521467,0.0737933358558,0.000217601712191,0.000104693834146,4.00855810186e-05,0.444075778763,-0.236416901776,1.18697492922,1.18678045614,1.0,16
60,0.152213720932,0.138846256013,42,118.0,6.0,39.0,0.142745526341,0.0412296859176,0.0721223900683,0.000279478684398,0.00684562663455,6.42942066695e-05,0.035678849219,-0.128991031648,1.18706440214,1.18697492922,1.0,16
61,0.0943412325414,0.0530346855521,96,64.0,1.0,36.0,0.131581656443,0.0302425352534,0.0719201957257,0.00017704028258,0.00281267776154,3.48231223251e-05,0.761785483011,0.235259431384,1.18725922327,1.18706440214,1.0,16
62,0.334926694639,0.38389171872,11,252.0,19.0,72.0,0.150701622017,0.061982596829,0.0709492312181,0.00061919186591,0.0193566830091,8.30603160449e-05,-0.27702637735,-0.236416901776,1.18725922327,1.18725922327,0.0,17
63,0.0941103298751,0.0164216603152,85,73.0,2.0,28.0,0.1330059121,0.0263688026043,0.0705983919357,0.00017062094311,0.000154402963744,3.87745440716e-05,0.444075778763,0.142155178211,1.18725922327,1.18725922327,0.0,18
64,0.18220778475,0.329298182507,32,128.0,14.0,62.0,0.169583278174,0.0519171174394,0.0694245412642,0.00034277328307,0.0198404372092,6.46368382339e-05,-0.0525759029549,-0.128991031648,1.18725922327,1.18725922327,0.0,19
65,0.103589613469,0.0,72,75.0,0.0,27.0,0.15,0.0249918427799,0.0673422139731,0.000187005870067,0.0,3.32500127052e-05,0.312318569246,-0.128991031648,1.18725922327,1.18725922327,0.0,20
66,0.251374291229,0.0843813210522,41,170.0,4.0,43.0,0.128683151139,0.0404138216076,0.0667237580902,0.000509547347794,0.00321005133642,5.55377347631e-05,0.035678849219,-0.236416901776,1.18725922327,1.18725922327,0.0,21
67,0.244635499012,0.16403668148,51,146.0,6.0,45.0,0.134655561696,0.0438725554972,0.0659550034811,0.000518933228849,0.0143844748168,5.61106020227e-05,0.120604338742,-0.236416901776,1.1873382729,1.18725922327,1.0,21
68,0.0586351643979,0.0,93,42.0,0.0,18.0,0.15,0.0200263964859,0.0658201572389,0.000107885129581,0.0,3.01091779609e-05,0.761785483011,-0.032930003101,1.1873382729,1.1873382729,0.0,22
69,0.0211224114537,-0.0014771472197,28,20.0,2.0,18.0,0.162370437001,0.0165947183305,0.0648924912188,3.38343728884e-05,1.47614672841e-06,2.84468480272e-05,-0.15211605327,0.447910956505,1.18843348955,1.1873382729,1.0,22
70,1.33317405843,1.98603927205,0,958.0,99.0,137.0,0.161263684506,0.117539996021,0.0638881156667,0.0025216702547,0.100447936351,0.000145351192207,-0.674951528385,-0.646632805807,1.18843348955,1.18843348955,0.0,23
71,0.309270753758,0.18961352203,31,202.0,6.0,45.0,0.132949139369,0.0464627681826,0.0636467800808,0.000602135767891,0.0153470410805,6.46602966901e-05,-0.0525759029549,-0.236416901776,1.18843348955,1.18843348955,0.0,24
72,0.063069759105,0.168653651897,5,48.0,3.0,34.0,0.186479784979,0.0328779120373,0.0620780565861,0.000122083945884,0.0248009431732,4.37274198068e-05,-0.674951528385,0.142155178211,1.18850769622,1.18843348955,1.0,24
73,0.0517125345286,0.00934365982539,38,49.0,2.0,27.0,0.132680532618,0.0182010037291,0.0613744300096,9.05291514273e-05,8.1274579351e-05,2.11297512256e-05,-0.0525759029549,0.447910956505,1.18850769622,1.18850769622,0.0,25
74,0.164604916314,0.0476612272905,62,113.0,6.0,32.0,0.129156031842,0.0294399830438,0.060082955798,0.000308670961376,0.00058334385335,3.8244710521e-05,0.212419064368,-0.128991031648,1.18850907016,1.18850769622,1.0,25
75,0.301698978816,0.235573871397,21,228.0,10.0,59.0,0.138240285452,0.0435608656221,0.057609547471,0.000547505979864,0.0103819750085,5.07508600658e-05,-0.15211605327,-0.236416901776,1.18850907016,1.18850907016,0.0,26
76,0.493039249781,0.392797352979,30,334.0,14.0,58.0,0.138776436922,0.0545287601683,0.0567306372037,0.000986209666418,0.0181914138338,7.53079516972e-05,-0.0525759029549,-0.646632805807,1.18850907016,1.18850907016,0.0,27
77,0.65932723014,0.523690690658,20,439.0,25.0,56.0,0.138694909884,0.05942442999,0.0537443351908,0.00132130070653,0.0276751002623,7.88887590284e-05,-0.15211605327,-0.646632805807,1.18850907016,1.18850907016,0.0,28
78,0.127387153217,0.0755019411445,71,86.0,1.0,25.0,0.132382350288,0.0241775081777,0.0504450558532,0.000257021269023,0.00570054305717,4.20085143387e-05,0.312318569246,-0.236416901776,1.18850907016,1.18850907016,0.0,29
79,0.750992632713,0.937123917359,10,512.0,33.0,66.0,0.153991997883,0.0647234411491,0.0491532996898,0.00145957591517,0.054069655713,9.128995821e-05,-0.27702637735,-0.646632805807,1.18850907016,1.18850907016,0.0,30
80,0.0866303720686,0.0433876924217,83,64.0,1.0,22.0,0.130187532349,0.0186089134429,0.0473206668394,0.00016429430274,0.00188249186613,2.60484868956e-05,0.444075778763,-0.032930003101,1.18850907016,1.18850907016,0.0,31
81,0.0792258388974,0.116502083838,95,49.0,1.0,19.0,0.160716344076,0.0217801988256,0.045355318086,0.000163208603978,0.0135727357119,3.20483377489e-05,0.761785483011,0.142155178211,1.18859968314,1.18850907016,1.0,31
82,0.436440870562,0.512952555709,40,275.0,18.0,39.0,0.151656899275,0.0448765193105,0.0451491057301,0.000866322235454,0.0251245977187,6.48720571609e-05,0.035678849219,-0.646632805807,1.18859968314,1.18859968314,0.0,32
83,0.022912498841,0.0689878230023,17,22.0,2.0,19.0,0.191360183092,0.0162406149335,0.0437050328494,4.35017730688e-05,0.00475819322428,2.27326504578e-05,-0.27702637735,0.334721279405,1.18859968314,1.18859968314,0.0,33
84,0.120763612256,0.069456230849,82,75.0,2.0,20.0,0.131914578356,0.0195946955556,0.0422354186849,0.000246181621104,0.00318161581527,2.74209210523e-05,0.444075778763,-0.128991031648,1.18875266625,1.18859968314,1.0,33
85,0.270615005747,0.146085733082,70,171.0,3.0,29.0,0.131037766068,0.0276599702433,0.0415222942702,0.000546815105064,0.0170385587444,3.72261434326e-05,0.312318569246,-0.646632805807,1.18875266625,1.18875266625,0.0,34
86,0.00395646723337,0.0,49,4.0,0.0,12.0,0.15,0.0106829147699,0.041516680449,6.68448760344e-06,0.0,1.3022909116e-05,0.035678849219,0.754692879226,1.18875266625,1.18875266625,0.0,35
87,0.331637811762,0.104625759646,60,206.0,5.0,25.0,0.128828369417,0.0280234397433,0.0411924599903,0.000663030792124,0.00460720205862,4.03044296498e-05,0.212419064368,-0.646632805807,1.18875266625,1.18875266625,0.0,36
88,0.0699516135746,0.128775477409,94,48.0,1.0,15.0,0.170387633729,0.0184327499446,0.0379749317941,0.000127704780288,0.0165831241757,3.05837892096e-05,0.761785483011,0.0546758815301,1.18879012134,1.18875266625,1.0,36
89,0.177166262936,0.0,80,124.0,0.0,16.0,0.15,0.0168989193721,0.0371747772783,0.000340236435585,0.0,2.23560931559e-05,0.444075778763,-0.646632805807,1.18883626484,1.18879012134,1.0,36
90,0.0437842822148,0.0,92,41.0,0.0,10.0,0.15,0.0100214798658,0.0371105791134,7.2249461506e-05,0.0,1.23119026396e-05,0.761785483011,-0.128991031648,1.18883626484,1.18883626484,0.0,37
91,0.415707855601,0.0410007475875,50,276.0,5.0,32.0,0.138366196037,0.0253676083849,0.0364279329786,0.000804669132314,0.000359555660907,3.43433015598e-05,0.120604338742,-0.646632805807,1.18883626484,1.18883626484,0.0,38
92,0.0258373750271,0.0400919755921,6,21.0,2.0,15.0,0.162995630842,0.0107754737837,0.0342670243654,4.57423135666e-05,0.00152518692425,1.24748206188e-05,-0.674951528385,0.235259431384,1.18883626484,1.18883626484,0.0,39
93,0.00331085146172,0.00388963380828,7,4.0,1.0,5.0,0.151640756198,0.00507909026783,0.0247282753331,4.15105112239e-06,1.51292515511e-05,6.38131007502e-06,-0.674951528385,0.334721279405,1.18906236688,1.18883626484,1.0,39
94,0.0632294012612,0.0,91,40.0,0.0,8.0,0.15,0.00737822760129,0.0246091701249,0.000124172235176,0.0,7.94645627522e-06,0.761785483011,-0.236416901776,1.1892262802,1.18906236688,1.0,39
95,0.0978069624857,0.0422897823155,90,68.0,1.0,8.0,0.129079286228,0.00826615396363,0.0206562010242,0.000193796623031,0.00178842572495,1.03102593449e-05,0.761785483011,-0.646632805807,1.1892262802,1.1892262802,0.0,40
96,0.00801144971047,0.0,39,5.0,0.0,5.0,0.15,0.0039163690235,0.0198608364866,1.37953699095e-05,0.0,5.2997724076e-06,-0.0525759029549,0.754692879226,1.18924895181,1.1892262802,1.0,40
97,0.00671393775701,0.0125165153295,18,8.0,1.0,6.0,0.170937170687,0.00357747742402,0.0155101418589,9.48550567048e-06,0.000156663154485,3.95776835549e-06,-0.27702637735,0.447910956505,1.18932821376,1.18924895181,1.0,40
98,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.674951528385,0.754692879226,1.18932821376,1.18932821376,1.0,40
99,0.00253267982043,0.0,29,2.0,0.0,0.0,0.15,0.0,0.0,5.40172175434e-06,0.0,0.0,-0.15211605327,0.754692879226,1.18932821376,1.18932821376,0.0,41
